"REF_DATE","GEO","DGUID","Population group","Age","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Both sexes","Life expectancy","Years","308","units ","0","v54068144","1.1.1.1.1","55.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068145","1.1.1.1.2","55.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068146","1.1.1.1.3","55.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Males","Life expectancy","Years","308","units ","0","v54068147","1.1.1.2.1","52.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068148","1.1.1.2.2","52.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068149","1.1.1.2.3","52.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Females","Life expectancy","Years","308","units ","0","v54068150","1.1.1.3.1","57.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068151","1.1.1.3.2","57.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068152","1.1.1.3.3","57.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Both sexes","Life expectancy","Years","308","units ","0","v54068153","1.1.2.1.1","50.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068154","1.1.2.1.2","50.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068155","1.1.2.1.3","50.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Males","Life expectancy","Years","308","units ","0","v54068156","1.1.2.2.1","47.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068157","1.1.2.2.2","47.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068158","1.1.2.2.3","47.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Females","Life expectancy","Years","308","units ","0","v54068159","1.1.2.3.1","53.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068160","1.1.2.3.2","53.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068161","1.1.2.3.3","53.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Both sexes","Life expectancy","Years","308","units ","0","v54068162","1.1.3.1.1","45.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068163","1.1.3.1.2","45.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068164","1.1.3.1.3","45.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Males","Life expectancy","Years","308","units ","0","v54068165","1.1.3.2.1","43.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068166","1.1.3.2.2","43.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068167","1.1.3.2.3","43.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Females","Life expectancy","Years","308","units ","0","v54068168","1.1.3.3.1","48.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068169","1.1.3.3.2","48.1","","","","1"
