"REF_DATE","GEO","DGUID","Population group","Age","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Both sexes","Probability of survival","Years","308","units ","0","v54070538","1.1.1.1.1","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071336","1.1.1.1.2","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072134","1.1.1.1.3","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Males","Probability of survival","Years","308","units ","0","v54070552","1.1.1.2.1","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071350","1.1.1.2.2","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072148","1.1.1.2.3","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Females","Probability of survival","Years","308","units ","0","v54070566","1.1.1.3.1","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071364","1.1.1.3.2","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 25 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072162","1.1.1.3.3","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Both sexes","Probability of survival","Years","308","units ","0","v54070539","1.1.2.1.1","99.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071337","1.1.2.1.2","99.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072135","1.1.2.1.3","99.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Males","Probability of survival","Years","308","units ","0","v54070553","1.1.2.2.1","99.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071351","1.1.2.2.2","99.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072149","1.1.2.2.3","99.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Females","Probability of survival","Years","308","units ","0","v54070567","1.1.2.3.1","99.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071365","1.1.2.3.2","99.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 30 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072163","1.1.2.3.3","99.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Both sexes","Probability of survival","Years","308","units ","0","v54070540","1.1.3.1.1","99.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071338","1.1.3.1.2","99.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072136","1.1.3.1.3","99.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Males","Probability of survival","Years","308","units ","0","v54070554","1.1.3.2.1","98.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071352","1.1.3.2.2","98.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072150","1.1.3.2.3","99.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Females","Probability of survival","Years","308","units ","0","v54070568","1.1.3.3.1","99.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071366","1.1.3.3.2","99.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072164","1.1.3.3.3","99.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Both sexes","Probability of survival","Years","308","units ","0","v54070541","1.1.4.1.1","98.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071339","1.1.4.1.2","98.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072137","1.1.4.1.3","98.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Males","Probability of survival","Years","308","units ","0","v54070555","1.1.4.2.1","98.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071353","1.1.4.2.2","98.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072151","1.1.4.2.3","98.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Females","Probability of survival","Years","308","units ","0","v54070569","1.1.4.3.1","99.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071367","1.1.4.3.2","99.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072165","1.1.4.3.3","99.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Both sexes","Probability of survival","Years","308","units ","0","v54070542","1.1.5.1.1","98.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071340","1.1.5.1.2","98.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072138","1.1.5.1.3","98.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Males","Probability of survival","Years","308","units ","0","v54070556","1.1.5.2.1","97.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071354","1.1.5.2.2","97.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072152","1.1.5.2.3","97.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Females","Probability of survival","Years","308","units ","0","v54070570","1.1.5.3.1","98.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071368","1.1.5.3.2","98.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072166","1.1.5.3.3","98.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Both sexes","Probability of survival","Years","308","units ","0","v54070543","1.1.6.1.1","96.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071341","1.1.6.1.2","96.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072139","1.1.6.1.3","97.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Males","Probability of survival","Years","308","units ","0","v54070557","1.1.6.2.1","96.1","","","","1"
